tj_id,c,1b,2b,ss,3b,of,util,sp,rp
jordanbeck,False,False,False,False,False,True,True,False,False
kodyfunderburk,False,False,False,False,False,False,False,False,True
kuttercrawford,False,False,False,False,False,False,False,True,False
andrewvaughn,False,True,False,False,False,False,True,False,False
alexisdiaz,False,False,False,False,False,False,False,False,True
dustinmay,False,False,False,False,False,False,False,True,False
gregweissert,False,False,False,False,False,False,False,False,True
isaaccollins,False,False,False,False,False,True,True,False,False
paytontolle,False,False,False,False,False,False,False,True,False
piercejohnson,False,False,False,False,False,False,False,False,True
erikmiller,False,False,False,False,False,False,False,False,True
seannewcomb,False,False,False,False,False,False,False,True,True
justinwrobleski,False,False,False,False,False,False,False,False,True
masonmontgomery,False,False,False,False,False,False,False,False,True
ryanzeferjahn,False,False,False,False,False,False,False,False,True
haseongkim,False,False,False,True,False,False,True,False,False
jordanlawlar,False,False,False,False,True,False,True,False,False
dominiccanzone,False,False,False,False,False,True,True,False,False
porterhodge,False,False,False,False,False,False,False,False,True
tylermahle,False,False,False,False,False,False,False,True,False
luisgil,False,False,False,False,False,False,False,True,False
nolangorman,False,False,True,False,True,False,True,False,False
yarielrodriguez,False,False,False,False,False,False,False,False,True
jakemeyers,False,False,False,False,False,True,True,False,False
grahamashcraft,False,False,False,False,False,False,False,False,True
davidrobertson,False,False,False,False,False,False,False,False,True
michaelmcgreevy,False,False,False,False,False,False,False,True,False
tylerstephenson,True,False,False,False,False,False,True,False,False
camsmith,False,False,False,False,False,True,True,False,False
bradyhouse,False,False,False,False,True,False,True,False,False
coleyoung,False,False,True,False,False,False,True,False,False
yenniercano,False,False,False,False,False,False,False,False,True
kylekarros,False,False,False,False,True,False,True,False,False
luisseverino,False,False,False,False,False,False,False,True,False
christianmoore,False,False,True,False,False,False,True,False,False
masatakayoshida,False,False,False,False,False,False,True,False,False
anthonyvolpe,False,False,False,True,False,False,True,False,False
jacoblopez,False,False,False,False,False,False,False,True,False
ryanyarbrough,False,False,False,False,False,False,False,True,True
victorscottii,False,False,False,False,False,True,True,False,False
keibertruiz,True,False,False,False,False,False,True,False,False
colinrea,False,False,False,False,False,False,False,True,False
maxmuncy1,False,False,True,False,True,False,True,False,False
zebbymatthews,False,False,False,False,False,False,False,True,False
reiddetmers,False,False,False,False,False,False,False,False,True
hobymilner,False,False,False,False,False,False,False,False,True
bennettsousa,False,False,False,False,False,False,False,False,True
tommynance,False,False,False,False,False,False,False,False,True
amedrosario,False,False,True,False,True,False,True,False,False
victorrobles,False,False,False,False,False,True,True,False,False
reynaldolopez,False,False,False,False,False,False,False,True,False
pjpoulin,False,False,False,False,False,False,False,False,True
tyleralexander,False,False,False,False,False,False,False,True,True
haydenbirdsong,False,False,False,False,False,False,False,True,True
jakemangum,False,False,False,False,False,True,True,False,False
nickmears,False,False,False,False,False,False,False,False,True
nickmartinez,False,False,False,False,False,False,False,True,True
nickgonzales,False,False,True,False,False,False,True,False,False
bencasparius,False,False,False,False,False,False,False,False,True
edgarquero,True,False,False,False,False,False,True,False,False
angelzerpa,False,False,False,False,False,False,False,False,True
michaelkopech,False,False,False,False,False,False,False,False,True
lourdesgurrieljr,False,False,False,False,False,True,True,False,False
kristiancampbell,False,False,True,False,False,False,True,False,False
justinlawrence,False,False,False,False,False,False,False,False,True
carterjensen,True,False,False,False,False,False,True,False,False
tobiasmyers,False,False,False,False,False,False,False,True,True
salstewart,False,True,False,False,True,False,True,False,False
mauriciodubon,False,False,True,True,True,True,True,False,False
jakeburger,False,True,False,False,False,False,True,False,False
adbertalzolay,False,False,False,False,False,False,False,False,True
edgardohenriquez,False,False,False,False,False,False,False,False,True
calebferguson,False,False,False,False,False,False,False,False,True
dannycoulombe,False,False,False,False,False,False,False,False,True
nathanlukes,False,False,False,False,False,True,True,False,False
timherrin,False,False,False,False,False,False,False,False,True
colehenry,False,False,False,False,False,False,False,False,True
